"nr";"year";"black";"exper";"hisp";"hours";"married";"occ1";"occ2";"occ3";"occ4";"occ5";"occ6";"occ7";"occ8";"occ9";"educ";"union";"lwage";"d81";"d82";"d83";"d84";"d85";"d86";"d87";"expersq"
13;1980;0;1;0;2672;0;0;0;0;0;0;0;0;0;1;14;0;1,19754004478455;0;0;0;0;0;0;0;1
13;1981;0;2;0;2320;0;0;0;0;0;0;0;0;0;1;14;1;1,85306000709534;1;0;0;0;0;0;0;4
13;1982;0;3;0;2940;0;0;0;0;0;0;0;0;0;1;14;0;1,34446203708649;0;1;0;0;0;0;0;9
13;1983;0;4;0;2960;0;0;0;0;0;0;0;0;0;1;14;0;1,43321299552917;0;0;1;0;0;0;0;16
13;1984;0;5;0;3071;0;0;0;0;0;1;0;0;0;0;14;0;1,56812500953674;0;0;0;1;0;0;0;25
13;1985;0;6;0;2864;0;0;1;0;0;0;0;0;0;0;14;0;1,69989097118378;0;0;0;0;1;0;0;36
13;1986;0;7;0;2994;0;0;1;0;0;0;0;0;0;0;14;0;-0,720262587070465;0;0;0;0;0;1;0;49
13;1987;0;8;0;2640;0;0;1;0;0;0;0;0;0;0;14;0;1,66918802261353;0;0;0;0;0;0;1;64
17;1980;0;4;0;2484;0;0;1;0;0;0;0;0;0;0;13;0;1,67596197128296;0;0;0;0;0;0;0;16
17;1981;0;5;0;2804;0;0;1;0;0;0;0;0;0;0;13;0;1,51839804649353;1;0;0;0;0;0;0;25
17;1982;0;6;0;2530;0;0;1;0;0;0;0;0;0;0;13;0;1,55919098854065;0;1;0;0;0;0;0;36
17;1983;0;7;0;2340;0;0;1;0;0;0;0;0;0;0;13;0;1,72540998458862;0;0;1;0;0;0;0;49
17;1984;0;8;0;2486;0;0;1;0;0;0;0;0;0;0;13;0;1,62202203273773;0;0;0;1;0;0;0;64
17;1985;0;9;0;2164;0;0;0;0;0;0;0;1;0;0;13;0;1,60858798027039;0;0;0;0;1;0;0;81
17;1986;0;10;0;2749;0;0;0;0;0;0;0;1;0;0;13;0;1,57238495349884;0;0;0;0;0;1;0;100
17;1987;0;11;0;2476;0;0;0;0;0;1;0;0;0;0;13;0;1,82033395767212;0;0;0;0;0;0;1;121
18;1980;0;4;0;2332;1;0;0;0;1;0;0;0;0;0;12;0;1,51596295833588;0;0;0;0;0;0;0;16
18;1981;0;5;0;2116;1;0;0;0;1;0;0;0;0;0;12;0;1,7353789806366;1;0;0;0;0;0;0;25
18;1982;0;6;0;2500;1;0;1;0;0;0;0;0;0;0;12;0;1,63174402713776;0;1;0;0;0;0;0;36
